"","h2","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"56",0.665724848466572,0.637835915024204,0.873221771366902,0.315051220396382,0.711962386246042,0.915648445630624,0.415716470175322
"57",0.66419428420624,0.638169557719692,0.874528653450841,0.314206461833901,0.716565767621466,0.917724585184789,0.410988128049337
"58",0.662993707179938,0.64524110446913,0.87615423805731,0.311216411635232,0.714916686741026,0.918368823320999,0.406573505110995
"59",0.665895546938745,0.64341369275312,0.876498594523882,0.318542063562942,0.72171286290172,0.933607891571457,0.397487530682882
"60",0.663594677053868,0.630868855406074,0.869788655575738,0.313761832486375,0.715449898832437,0.913989686375351,0.414690899190129
"61",0.664880421907677,0.637599704641309,0.883040148188138,0.307546658401728,0.712753462251801,0.926575820815513,0.401455810495349
"62",0.667190341021755,0.639549738678204,0.875948272365071,0.317454078441459,0.719685307350772,0.916616752348631,0.406459911014793
"63",0.663984198973474,0.639306356345087,0.876072010486163,0.316697732372574,0.723374383953327,0.930308093229154,0.413978721119764
"64",0.667193646378208,0.636702847318675,0.876798581618143,0.307944119189511,0.718971166400598,0.92164229312128,0.391164395845177
"65",0.66549983207506,0.634401016929041,0.878126219526309,0.316798265305018,0.722074224208838,0.915328135214831,0.407056695713782
"66",0.664933464839091,0.639091433770089,0.87588361721828,0.310025443323266,0.711503942154819,0.919304050737961,0.39802865398433
"67",0.666008471516905,0.633970813014483,0.87848262067675,0.313853285509619,0.711555854389357,0.927235109755645,0.406203227927593
"68",0.664910573440015,0.633497241861762,0.875326445800816,0.314109518656603,0.716908895052859,0.92315492955376,0.419539221885773
"69",0.665498331547231,0.640968139323617,0.877456595599206,0.307808259623813,0.720042600937596,0.924909682600148,0.411248949312137
"70",0.666866243221455,0.638299323072423,0.869354767083752,0.318337986846996,0.718825105004605,0.913253785073773,0.412184710385504
"71",0.666428651070446,0.635137892858371,0.874922734883312,0.311072027766696,0.714715530806907,0.914840790539521,0.407940608789805
"72",0.665201465281746,0.635310036971312,0.871262312037766,0.317068184127809,0.717756546954766,0.929648902789458,0.407888127271923
"73",0.663088084252781,0.635015894667035,0.874101744381248,0.309566892676184,0.719026590681539,0.928481139475738,0.406407338227511
"74",0.665825481236939,0.636914570691134,0.878279538945787,0.313600787533915,0.725445948826723,0.922155119720607,0.409455088649344
"75",0.666297602646852,0.634317568057723,0.873195457479354,0.314706094690283,0.71963981694731,0.919314808491915,0.410276057606013
"76",0.665119228270858,0.632064488751001,0.874320302453895,0.311103614969058,0.71179913230824,0.923781400240568,0.404299185524545
"77",0.664341337375658,0.634734658665871,0.879475422046941,0.304697203861791,0.716685676803545,0.917258899689109,0.397715594484888
"78",0.666890685000333,0.639839989144266,0.875915556901789,0.313743940097015,0.719805819644515,0.92070227498902,0.402447984492196
"79",0.667670299659726,0.644232853807959,0.875688709323656,0.313053223592224,0.721101527650947,0.92355766510504,0.400250496785659
"80",0.667768540779128,0.643178818698648,0.877145703643312,0.317301082762301,0.725973952162614,0.918998812770347,0.411045058211074
"81",0.666477830578651,0.640854328231889,0.876289123004152,0.313010592256942,0.719761963381143,0.921587320669416,0.402932412418276
"82",0.6647935993951,0.639538136499479,0.870937256604064,0.308174205757319,0.724848308567552,0.926174257205446,0.400340195055519
"83",0.665684632815908,0.63784475278191,0.877683347702176,0.310498651996982,0.717051501833915,0.924013806022881,0.406321808889106
"84",0.666160146238413,0.643515698504516,0.875085133651659,0.310997130749025,0.717070792649912,0.922480315029016,0.409592509102985
"85",0.666091566956386,0.637273736586323,0.876958164346038,0.312235619701339,0.714761648053297,0.916599729830468,0.412611887608032
"86",0.663959341097704,0.639455816632769,0.879138770668033,0.315817932817071,0.718905495325376,0.922986902456005,0.399224632072357
"87",0.666021045937249,0.631547230726038,0.874792053213849,0.309840190605445,0.722438458629254,0.910998904887007,0.401703171106366
"88",0.664354977247836,0.633043556626619,0.874645013833249,0.307829254689333,0.727598716843138,0.923037967013306,0.402557735019817
"89",0.664391432926005,0.634602017004843,0.882110064381809,0.308304540110663,0.714223106550475,0.924664045799064,0.399060329672699
"90",0.664973733203446,0.638111348616476,0.875152989343455,0.313328844790147,0.722944153185072,0.928364164406427,0.411021472404994
"91",0.666513357558037,0.64133371491638,0.877330802512626,0.314596099170834,0.722100008632912,0.920619874110972,0.395465287294944
"92",0.66492540421147,0.642271377641657,0.875605344375237,0.312261862580264,0.715928418847639,0.92150399417928,0.411676769901847
"93",0.664600298929275,0.636631305645395,0.876736905665737,0.311076767865506,0.719346491684508,0.919917696041794,0.398089767714905
"94",0.669962169324661,0.641197648870297,0.879545418179936,0.312782942841134,0.713932990334562,0.923432575035586,0.401737463613011
"95",0.665829556343037,0.6344114311775,0.873349041959479,0.314416561876611,0.711059337980788,0.922929803782128,0.406687406478132
"96",0.666129073580331,0.638940355257192,0.873463534420445,0.317102080535873,0.718811378104016,0.927658201900056,0.412668405583045
"97",0.66749435388647,0.641080747023677,0.880558216744023,0.309896927623161,0.721089367124473,0.926963247231251,0.385211424301636
"98",0.663979586540481,0.63693144375322,0.878114616646921,0.3072533924857,0.720658379190022,0.925750819987711,0.392079994304008
"99",0.663892188010739,0.640534841520006,0.875089751843041,0.312104178950847,0.717358390256548,0.917315789223396,0.403753824257212
"100",0.664673229797226,0.636288451646375,0.874561275591419,0.311588893654493,0.723213592725088,0.91792707620097,0.407249344933189
